text,label
add Harry J to my dubstep dangles dirty,AddToPlaylist
add Partners in Crime to joann's Lo Que Suena Los Angeles,AddToPlaylist
add this song onto hip hop gaming playlist,AddToPlaylist
Add this artist to my This Is Philip Glass playlist,AddToPlaylist
I want to put look to you on the playlist named 80s Classic Hits,AddToPlaylist
add No Secrets to power gaming playlist,AddToPlaylist
Add track to Hit Remix,AddToPlaylist
add ali lohan songs in Club Hits,AddToPlaylist
Add this tune to retrowave outrun,AddToPlaylist
Add a track from The Edge to my funk soul disco playlist,AddToPlaylist
add hold tight to my throwback party,AddToPlaylist
put Do You Love Me on my acoustic soul playlist,AddToPlaylist
Add the name The 3rd World to the playlist Rock Me UP,AddToPlaylist
Add this tune to my playlist named Women of Fresh Finds,AddToPlaylist
add tune to atmospheric black metal playlist,AddToPlaylist
Add sammy hagar to Ultra Metal,AddToPlaylist
Add 2120 south michigan avenue to my laundry playlist,AddToPlaylist
Add Turk to the deep house playlist,AddToPlaylist
Add the name Not Fade Away to the playlist the midnight hour,AddToPlaylist
add the artist to the 90's Baby Makers playlist,AddToPlaylist
Add parempi mies to the Cafe con Leche playlist. ,AddToPlaylist
Place this tune onto my dinner for 2 playlist.,AddToPlaylist
Add Exit to i love my 80's rollerdisco list,AddToPlaylist
add darkest angels to my SOS 48 2016,AddToPlaylist
Please put another tune into the laundry playlist. ,AddToPlaylist
add global underground 006 sydney to my Best Metal of the New Millennium,AddToPlaylist
Add BSlade to women of k-pop playlist,AddToPlaylist
Add a bill deasy track to the conexiones playlist. ,AddToPlaylist
Add J J Cale to my heavy gamer playlist. ,AddToPlaylist
add album to metal overload playlist,AddToPlaylist
Add the Keep Your Receipt EP to my Digster Reggae playlist.,AddToPlaylist
add country nights by A Journal of the Plague Year to playlist,AddToPlaylist
add ian gillan to my Rock Party,AddToPlaylist
Add Paul Young to my Retrovisor,AddToPlaylist
Add nana tanimura  to a sudden rainstorm,AddToPlaylist
add Viktor Tsoi to my sweet soul chillout playlist,AddToPlaylist
I want glam added to the ntc gym strong playlist,AddToPlaylist
add this Ricardo Villalobos track to under the surface,AddToPlaylist
I want to add a song by w c clark to my nerding around playlist,AddToPlaylist
Add connee boswell to the relaxing playlist.,AddToPlaylist
Add Nicole Mitchell to my Soul Revived list,AddToPlaylist
add artist to lo mejor de los 00's,AddToPlaylist
this track should go on my evening chill playlist,AddToPlaylist
Add Claudine Longet to my Ultimate 00s palylist,AddToPlaylist
add a mina caputo album to my after hours party ,AddToPlaylist
Put frank portman in my playlist GOOD Music,AddToPlaylist
Put this track from The Edge on my funk soul disco playlist,AddToPlaylist
Add a Jang Nara track to the hip hop gaming playlist. ,AddToPlaylist
add kurious jorge to my synth pop,AddToPlaylist
add songs in 90's hip hop of artist,AddToPlaylist
Add Step to Me to the 50 Clasicos playlist.,AddToPlaylist
Add this track to the Sunshine Reggae playlist,AddToPlaylist
put this whole album on the playlist called old school metal,AddToPlaylist
Add De Principii Evangelikum to my Domingo Indie palylist,AddToPlaylist
add back at the velvet lounge to my cleaning playlist,AddToPlaylist
add Hemanta Kumar Mukhopadhyay album in Funky Jams,AddToPlaylist
add track to kickass metal,AddToPlaylist
Add song to my Pop Brasil,AddToPlaylist
Please add Ruud Jolie to my playlist Guest List Polygon,AddToPlaylist
Put this agent m tune onto de cantautor espanol.,AddToPlaylist
add this tune by Kurt James to the playlist latin pop classics,AddToPlaylist
Include When I Paint My Masterpiece in my Acoustic Spring playlist. ,AddToPlaylist
add ths album to my Pachangueo Total,AddToPlaylist
add repent replenish repeat to Classical Moments in Movies ,AddToPlaylist
Add this song to this is no te va gustar playlist,AddToPlaylist
add 157 Riverside Avenue to leticia's animal humor playlist,AddToPlaylist
add tune to Composer Weekly Pauline Oliveros playlist,AddToPlaylist
Add Stuck on Nothing to my Sax and the City playlist,AddToPlaylist
add armistead burwell smith iv to Blues Masters,AddToPlaylist
add an album in my playlist In The Name Of Blues,AddToPlaylist
put United Abominations onto my rare groove playlist,AddToPlaylist
Add LaGaylia Frazier to my emotron,AddToPlaylist
I want to add a song by w c clark to my nerding around playlist,AddToPlaylist
add a shot at glory  to calm before the storm,AddToPlaylist
add this artist to the playlist called Fusion Fest,AddToPlaylist
add song to my mellow beats list,AddToPlaylist
Add Don and Sherri to the electrosafari playlist.,AddToPlaylist
Can you put a song by jessica mauboy on my playlist entitled a sudden rainstorm,AddToPlaylist
add M-CABI to the playlist named Pre-Party R&B Jams,AddToPlaylist
Add a song to in residence metal hammer episode 6,AddToPlaylist
Add The Stars and Stripes Forever to the soulful disco playlist.,AddToPlaylist
Add beijing huanying ni to my workday lounge playlist,AddToPlaylist
I want to add a track to my Evening Groove playlist,AddToPlaylist
add How to sos 48 2016 playlist,AddToPlaylist
Can you put dj kay slay onto the 2010 Decade playlist?,AddToPlaylist
Add Fabri Fibra to evening acoustic,AddToPlaylist
add this tune to Escapada,AddToPlaylist
Add the unraveling to marina's playlist It's a Southern Thing,AddToPlaylist
put this artist into my found them first playlist please,AddToPlaylist
add Stephen McNally to Confidence Boost,AddToPlaylist
add Paul Franklin to my The Bachelor Party,AddToPlaylist
Add a track to the Another Glass playlist.,AddToPlaylist
Please add a track by david freiberg to my workout playlist. ,AddToPlaylist
Add this artist to my feel good dinner playlist,AddToPlaylist
add vintage 74 to my mother's  Primavera Sound 2016 Barcelona playlist,AddToPlaylist
Add an album by cowboy troy to my piano in the background playlist.,AddToPlaylist
Add Hatfield and the North to my Hot House playlist. ,AddToPlaylist
Add tour generacion rbd en vivo to the roadrunner rec new releases playlist. ,AddToPlaylist
I want global top 50 to have marit bergman added to it.,AddToPlaylist
Add The Block Brochure Welcome to the Soil 6 onto my Cafe con Leche list,AddToPlaylist
add paul wright album to 90s Smash Hits playlist,AddToPlaylist
Add an artist to my playlist This Is Verdi,AddToPlaylist
Add a tune to the this is animal collective playlist.,AddToPlaylist
Add this marilyn manson tune to Latin Party Anthems,AddToPlaylist
Add Dickey Betts to my throwback thursday playlist. ,AddToPlaylist
add the album by Cham to my Cloud Rap playlist,AddToPlaylist
Add Atticus Ross to the electrosafari playlist,AddToPlaylist
add this artist to Spain Top 50,AddToPlaylist
Put Lindsey Cardinale into my hillary clinton's women's history month playlist. ,AddToPlaylist
Add A Gate Through Bloodstained Mirrors to feelin' good playlist,AddToPlaylist
Put some frank ferrer into my edna st vincent millay playlist. ,AddToPlaylist
Add Madman to Trap Land playlist,AddToPlaylist
add chas chandler to my Aux Cord Privileges,AddToPlaylist
put Kan Mikami on Pre-Party R&B Jams,AddToPlaylist
add let the season in  to my  lo-fi love,AddToPlaylist
Add this track to the 70s smash hits playlist,AddToPlaylist
put any Andrew Hurley album onto timeless love songs,AddToPlaylist
add Be Yourself Tonight to I Love My 90s Hip Hop,AddToPlaylist
add track to my Las Canciones Mas Lindas Del Mundo playlist,AddToPlaylist
add this Roy Orbison song onto Women of Comedy,AddToPlaylist
Add artist to laundry,AddToPlaylist
Add A Bum Note and a Bead of Sweat to my Stress Relief playlist,AddToPlaylist
Add sara hickman to my Targeted list,AddToPlaylist
Add Jonathan Arons to my Indie Electronics playlist,AddToPlaylist
add track to my Cloud Rap,AddToPlaylist
add this song to my playlist under Funky Jams,AddToPlaylist
Add Mary Wells Sings My Guy to the electro sur playlist.,AddToPlaylist
add tune to Soft Rock playlist,AddToPlaylist
add d-day dodgers to my running power playlist,AddToPlaylist
I want a song by john schlitt in the bajo las estrellas playlist. ,AddToPlaylist
Add vikku vinayakram to my This Is Nicky Jam,AddToPlaylist
add Bossa Nova Soul Samba to my jukebox boogie rhythm & blues playlist,AddToPlaylist
Add brad kane to the Pumping Iron soundtrack.,AddToPlaylist
Please add this song to indiespain list,AddToPlaylist
Add od mene se odvikavaj to my laundry,AddToPlaylist
add this artist to Dubstep,AddToPlaylist
Add the tune to Your Favorite Slaughterhouse playlist.,AddToPlaylist
Add song to Siesta,AddToPlaylist
Put Lullaby of Birdland onto fusion fest.,AddToPlaylist
put Sarah Blasko onto my The MetalSucks Playlist ,AddToPlaylist
I want another track added to the Korean OSTs playlist. ,AddToPlaylist
Add Cream to the funk playlist.,AddToPlaylist
Add Take Me Back to Dear Old Blighty to my dinner playlist,AddToPlaylist
add this tune to the Deep Dark Indie Folk playlist,AddToPlaylist
add this gisela song to my dancehall official,AddToPlaylist
Add histoire de melody nelson to my 90's Baby Makers playlist,AddToPlaylist
add this tune to my road trip playlist,AddToPlaylist
Add tune to infinite indie folk,AddToPlaylist
add album to Ultra Metal,AddToPlaylist
I'd like to add this album to funtime.,AddToPlaylist
add tune to punk espanol,AddToPlaylist
I want to add In the Mood to my playlist called My Folksy Love,AddToPlaylist
Put this Jerry Dixon song onto my Tokyo Rising playlist.,AddToPlaylist
add grim skunk to Duetos,AddToPlaylist
"Add jennie, jennie to my metal playlist",AddToPlaylist
add Dias Felices to my todo reggaeton playlist,AddToPlaylist
Add Candlelight to my House Afterwork playlist.,AddToPlaylist
Add Us Placers to my new boots,AddToPlaylist
add this track by clem burke to my atmospheric black metal playlist,AddToPlaylist
add Mayya to the de manhattan con amor playlist,AddToPlaylist
Add the Nastya Kamenskih song to my The Martin Garrix Show playlist.,AddToPlaylist
Add artist to playlist Epic Gaming,AddToPlaylist
Add robin s to sxsw latin,AddToPlaylist
Put this tune onto the signed xoxo playlist.,AddToPlaylist
add olympia 1959 to from the delta to chicago,AddToPlaylist
The enamorandose playlist needs another album. ,AddToPlaylist
add song to Rocksteady playlist,AddToPlaylist
"add Funtwo to disco fever track
",AddToPlaylist
I'd like to add this album to my Siesta playlist,AddToPlaylist
Add Kevin Cadogan to the 80s Classic Hits list,AddToPlaylist
add the artist to my Spooning playlist,AddToPlaylist
Add this Alan Wilson track to my This Is Luis Fonsi playlist,AddToPlaylist
For my playlist Wild Country add a great day for freedom,AddToPlaylist
Add ricky nelson to my Classical X playist,AddToPlaylist
add track to my playlist a sudden rainstorm,AddToPlaylist
add ronnie james dio tune to Women of Electronic selection,AddToPlaylist
Add to isabella's Club Hits this song,AddToPlaylist
include pat smear on Guest List Engadget,AddToPlaylist
Put a track by Ricky Martin into my 70s smash hits playlist.,AddToPlaylist
Add this track to my This Is Thomas Rhett playlist,AddToPlaylist
Add I Hate Myself and I Want to Die  to my Six string peacefulness,AddToPlaylist
Add Yuna Ito to my Cena Elegante playlist,AddToPlaylist
Please add Jency Anthony to my playlist This Is Mozart,AddToPlaylist
put jtr on the Top Classical playlist,AddToPlaylist
The Get Going playlist needs another song.,AddToPlaylist
add munia the tale to my playlist called Adrenaline Workout,AddToPlaylist
Put Molly and Tenbrooks in the French N' Heavy playlist. ,AddToPlaylist
Add an album by twink to my Classic Country playlist,AddToPlaylist
Add The Blurred Crusade to crate diggers anonymous,AddToPlaylist
add robyn hitchcock to my romantic evening playlist,AddToPlaylist
"Add the Beatles tune Yesterday to my playlist, The Southern Highway Chronicles",AddToPlaylist
add enduser song in grime instrumentals,AddToPlaylist
add Koichi Sugiyama to WHM,AddToPlaylist
put Sungmin into my summer playlist,AddToPlaylist
add little musgrave and the lady barnard to ora's Punk Rock Workout playlist,AddToPlaylist
I'd like to add this tune to my spotify orchestra cello playlist,AddToPlaylist
add this Michael V track to my Folk & Americana,AddToPlaylist
Add riddim driven engine 54 & humanity letha's All Things Post,AddToPlaylist
add Nana Kitade to my modern psychedelia playlist,AddToPlaylist
Add the artist to the Latin Jazz playlist.,AddToPlaylist
Put ares in my canadian country playlist,AddToPlaylist
"Add another tune to my songs for you, not your parents playlist. ",AddToPlaylist
Add Atticus Ross to the playlist electrosafari,AddToPlaylist
add tune to my Hype playlist,AddToPlaylist
add NIB to fay's brooklyn beat playlist,AddToPlaylist
"Add a tune to patrica's playlist, The Rhythm",AddToPlaylist
insert Rock Me UP song to my list,AddToPlaylist
Add some martine mccutcheon to my original columbia jazzmasters list,AddToPlaylist
Add autry inman to my Hanging Out and Relaxing playlist.,AddToPlaylist
Add the name the Song about the Towel to playlist piano in the background,AddToPlaylist
add rock & roll to my playlist named night out,AddToPlaylist
Add tara blaise to my power gaming playlist,AddToPlaylist
put this song on the Chips and Salsa playlist,AddToPlaylist
add to my mac 'n cheese playlist with Tsuzetsu,AddToPlaylist
add country favorites willie nelson style to my playlist titled Spinnin' Records Top 100,AddToPlaylist
I want Harris to be added to my latin dance cardio playlist,AddToPlaylist
I would like to add something by Kuk Harrell to my Hip Hop 2017 New School playlist,AddToPlaylist
shawn lane should be moved to my Cena con Amigos playlist,AddToPlaylist
add dave carpenter to my Acoustic Blues playlist,AddToPlaylist
add this track to the playlist named cali fire,AddToPlaylist
Put the artist Pat Monahan onto the emily dickinson playlist.,AddToPlaylist
Add splendido hotel to my verano forever,AddToPlaylist
Add this song to my novedades viernes sudamerica playlist,AddToPlaylist
Add a song by Szahram Nazeri to my playlist called this is jennifer lopez ,AddToPlaylist
add this track to New Hip Hop,AddToPlaylist
add this is status quo to teddy riley,AddToPlaylist
add the outlaw blues to the playlist with the title top 100 country tracks on spotify,AddToPlaylist
add Bring Back My Daddy to Me to my playlist named Might and Myth Power Metal,AddToPlaylist
Add Shangri-La to the African Heat playlist.,AddToPlaylist
add Embryo to lessie's hands up,AddToPlaylist
Add best of uetoaya to Wild Country,AddToPlaylist
I want to add Kool Keith to my chill out dinner playlist,AddToPlaylist
Add david axelrod to my Futuros Hits list,AddToPlaylist
add artist to my endorphin rush playlist,AddToPlaylist
add current album to my pop gaming playlist,AddToPlaylist
I want If I Could Be with You added to mellow dinner,AddToPlaylist
add spanish castle magic to Daily Lift,AddToPlaylist
add little walter to Women of Comedy playlist,AddToPlaylist
Put a Bunky Green tune into the Phunkadelic playlist. ,AddToPlaylist
Put this tune on dancePOP,AddToPlaylist
add this karina album to my Folk Pop playlist,AddToPlaylist
Add a tune by Louis Wolfe Gilbert to my cleaning playlist,AddToPlaylist
Please add a tune by kaori utatsuki to my Korean OSTs playlist,AddToPlaylist
Add Om to my Classic Punk,AddToPlaylist
Add this jimmy london tune to The New Waltz playlist,AddToPlaylist
Add song to organica,AddToPlaylist
Add bill evans to the Motivation Mix playlist.,AddToPlaylist
Add Ray Noble to my Chill Vibes playlist.,AddToPlaylist
add this track to latin jazz,AddToPlaylist
add this artist to cynthia's fresh finds,AddToPlaylist
Add giancarlo erra to my Guitar Hero Live Playlist,AddToPlaylist
Add this tune to my wine & dine playlist,AddToPlaylist
Add this tune to my rage radio playlist,AddToPlaylist
add bad news to highway 61 playlist,AddToPlaylist
put this tune on my playlist technical&brutal death metal ,AddToPlaylist
Add the singer Barbara to my COUNTRY RADIO playlists,AddToPlaylist
add Tatico Henriquez in my playlist called bleeps & bloops,AddToPlaylist
add warpaint in my Pre-Party list,AddToPlaylist
put this artist on Domingo Indie,AddToPlaylist
add ian north to my Autumn Lounge playlist,AddToPlaylist
Add this tune to the Leche con Chocolate playlist,AddToPlaylist
Add to the Rock Games,AddToPlaylist
I want to add something by the artist Nadine to my Workday - Pop playlist,AddToPlaylist
Add radhae unakku kobam aagathadi to my Women of Metal playlist,AddToPlaylist
add album to my classical essentials playlist,AddToPlaylist
Add TEENAGER to the queen playlist,AddToPlaylist
please put this artist on my indie mim playlist,AddToPlaylist
add artist steve cropper to Rhythm and Blues,AddToPlaylist
add Dean Martin track to metal xplorer playlist,AddToPlaylist
put this song in the playlist Trap Land,AddToPlaylist
add 3 Natsu Natsu Mini Berryz to my rock classics playlist,AddToPlaylist
Add nyoil to my this is prince playlist,AddToPlaylist
Add this tune to my list jazz vibes,AddToPlaylist
Add sp balasubrahmanyam to my rockabilly mania playlist.,AddToPlaylist
add this album to my All Out 70s playlist,AddToPlaylist
add bob klose to la mejor musica para tus fiestas ,AddToPlaylist
add song to Zen Focus playlist,AddToPlaylist
add this tune by hart wand on this is wagner,AddToPlaylist
Add the da brat track to the Soak Up The Sun playlist.,AddToPlaylist
add Roger Nichols to Punk Rock Workout,AddToPlaylist
Include Laarni Lozada on endorphin rush playlist,AddToPlaylist
add francesco de gregori to gayle's Women who Dj playlist,AddToPlaylist
Add Sarah Vaughan to the spa treatment playlist.,AddToPlaylist
Add Third Stone from the Sun to the Concentracion playlist. ,AddToPlaylist
add the artist cho kyu hyun to Funky Jams,AddToPlaylist
"I want to add Aprite le finestre to my playlist entitled This Is Earth, Wind & Fire",AddToPlaylist
Add alexia to women of classical,AddToPlaylist
put this track by Tony Bevilacqua into joan's playlist with the title women of folk & americana,AddToPlaylist
add this album to my Throwback Party playlist,AddToPlaylist
Add nina hagen to essential folk,AddToPlaylist
please add Secrets of the Alibi to the playlist called keep calm,AddToPlaylist
add Karin Dreijer Andersson in Escapada album,AddToPlaylist
Add this ruth crawford seeger song to my playlist called The Soundtrack 007,AddToPlaylist
Add jenifer to Rock the 2000's,AddToPlaylist
Add josephine wiggs to my kickass metal playlist. ,AddToPlaylist
Add the big mama thornton song to cassie's Punk Rock Workout playlist,AddToPlaylist
add artist to acoustic soul,AddToPlaylist
Add name house of gold to the de manhattan con amor playlist,AddToPlaylist
add the song to my We Everywhere  playlist,AddToPlaylist
Can you add this tune to the night out playlist?,AddToPlaylist
Add album to my party with friends,AddToPlaylist
add i roy to my this is Rosana playlist,AddToPlaylist
Add Transmission to my found them first,AddToPlaylist
The Songs to Sing in the Car playlist needs k j yesudas discography in it. ,AddToPlaylist
add slave to the rhythm to the playlist Massive Soca Hits,AddToPlaylist
add Intelligence and Sacrifice to Skatepark Punks,AddToPlaylist
For my playlist it's ok to like jazz add this tune,AddToPlaylist
Add Chamberlain Waits to my picnic in the park,AddToPlaylist
Can you please put this track onto my TODO NOVEDADES playlist?,AddToPlaylist
add Totally Stress Free by bobby lord to my playlist,AddToPlaylist
Add shame on you to my masters of metal playlist,AddToPlaylist
